Offset,Elevation
0.000000,909.590027
47.525680,907.133972
75.289081,902.929993
94.575630,901.091980
116.961507,900.692017
167.300876,887.986023
194.623486,880.512024
222.358962,877.375977
227.106363,874.184998
232.076393,873.359985
236.403945,875.216003
242.017696,878.507019
248.558577,881.963013
259.816236,887.150024
287.327280,891.661011
312.494399,893.536987
403.848553,899.523010
469.046722,899.177979
537.763274,904.856018
589.693895,908.737000
