Offset,Elevation
0.000000,908.590027
35.140555,905.151001
74.728805,900.125000
96.750477,896.620972
127.550111,893.995972
158.483864,890.843994
185.738362,886.267029
209.590698,880.606018
223.729145,876.948975
235.888579,878.002991
260.036616,888.780029
293.908880,892.317993
337.084290,896.781982
377.206739,898.724976
459.035305,903.242981
506.103469,906.932007
544.152979,911.614014
570.637109,914.697998
