Offset,Elevation
0.000000,905.739990
95.377477,903.903992
145.997959,902.460999
196.453933,898.687988
254.710517,892.487000
326.931016,884.601013
336.888995,883.333008
366.236479,880.750000
383.396109,877.726013
403.869565,872.098999
416.821459,875.028992
458.465679,889.440979
512.286900,881.999023
542.188366,884.744019
634.764345,897.013977
686.370934,904.044006
755.981679,912.565979
