mann,expansion_coeff,alpha_method,sf_method,max_abs,mean_abs,rmse
1.3,0.0,conveyance,combined,1.5142033353081388,0.7672816803978094,0.9377085363653226
1.3,0.0,conveyance,avg,1.5142028448475457,0.7672814842135722,0.9377080750455625
1.3,0.0,area,combined,1.5142033353081388,0.7672816803978094,0.9377085363653226
1.3,0.0,area,avg,1.514202845360387,0.7672814844187087,0.9377080754171149
1.3,0.02,conveyance,combined,1.5142033353081388,0.7672816803978094,0.9377085363653226
1.3,0.02,conveyance,avg,1.5142028457007655,0.7672814845548601,0.9377080756637183
1.3,0.02,area,combined,1.5142033353081388,0.7672816803978094,0.9377085363653226
1.3,0.02,area,avg,1.5142028462236112,0.7672814847639984,0.9377080760425188
1.3,0.05,conveyance,combined,1.5142033353081388,0.7672816803978094,0.9377085363653226
1.3,0.05,conveyance,avg,1.514202846979856,0.7672814850664963,0.9377080765904166
1.3,0.05,area,combined,1.5142033353081388,0.7672816803978094,0.9377085363653226
1.3,0.05,area,avg,1.5142028475177085,0.7672814852816373,0.9377080769800896
1.3,0.1,conveyance,combined,1.4422309523220065,0.7384927272033565,0.9019856904520698
1.3,0.1,conveyance,avg,1.5142028491098927,0.767281485918511,0.9377080781336234
1.3,0.1,area,combined,1.488519145437408,0.7570080044495171,0.9248616718609376
1.3,0.1,area,avg,1.5142028496727562,0.7672814861436563,0.9377080785414169
1.32,0.0,conveyance,combined,1.5386424854394818,0.772169510424078,0.9544975345126105
1.32,0.0,conveyance,avg,1.5386420182978782,0.7721693235674365,0.9544970834523123
1.32,0.0,area,combined,1.5386424854394818,0.772169510424078,0.9544975345126105
1.32,0.0,area,avg,1.5386420188103784,0.7721693237724366,0.9544970838275842
1.32,0.02,conveyance,combined,1.5386424854394818,0.772169510424078,0.9544975345126105
1.32,0.02,conveyance,avg,1.5386420191846355,0.7721693239221394,0.9544970841016295
1.32,0.02,area,combined,1.5386424854394818,0.772169510424078,0.9544975345126105
1.32,0.02,area,avg,1.5386420197073676,0.7721693241312323,0.9544970844843936
1.32,0.05,conveyance,combined,1.5386424854394818,0.772169510424078,0.9544975345126105
1.32,0.05,conveyance,avg,1.5386420205143168,0.772169324454012,0.9544970850752723
1.32,0.05,area,combined,1.5386424854394818,0.772169510424078,0.9544975345126105
1.32,0.05,area,avg,1.5386420210518281,0.7721693246690166,0.9544970854688585
1.32,0.1,conveyance,combined,1.6272318957892367,0.8076052745639799,0.9996897494894614
1.32,0.1,conveyance,avg,1.5386420227282542,0.7721693253395869,0.9544970866964009
1.32,0.1,area,combined,1.6494792814430639,0.8165042288255109,1.0112092572318663
1.32,0.1,area,avg,1.5386420232907767,0.7721693255645959,0.9544970871083011
1.34,0.0,conveyance,combined,1.562526200340244,0.7769462534042304,0.9712187763782623
1.34,0.0,conveyance,avg,1.5625257555683447,0.7769460754954707,0.9712183357411549
1.34,0.0,area,combined,1.562526200340244,0.7769462534042304,0.9712187763782623
1.34,0.0,area,avg,1.5625257560686805,0.776946075695605,0.9712183361110552
1.34,0.02,conveyance,combined,1.562526200340244,0.7769462534042304,0.9712187763782623
1.34,0.02,conveyance,avg,1.5625257564878439,0.7769460758632704,0.9712183364209445
1.34,0.02,area,combined,1.562526200340244,0.7769462534042304,0.9712187763782623
1.34,0.02,area,avg,1.5625257569979567,0.7769460760673155,0.971218336798073
1.34,0.05,conveyance,combined,1.488355258308502,0.7472778765915337,0.9342040275769945
1.34,0.05,conveyance,avg,1.5625257578662968,0.7769460764146515,0.9712183374400404
1.34,0.05,area,combined,1.5334368693855822,0.7653105210223657,0.9565983833426986
1.34,0.05,area,avg,1.5625257583908478,0.776946076624472,0.9712183378278433
